v4_0,calendar-years,Time,local-health-board,Geography,week-number,Week,cause-of-death,CauseOfDeath,place-of-death,PlaceOfDeath,registration-or-occurrence,RegistrationOrOccurrence
27,2020,2020,W11000025,Hywel Dda University Health Board,week-1,Week 01,all-causes,All causes,home,Home,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-1,Week 01,all-causes,All causes,hospice,Hospice,registrations,Registrations
56,2020,2020,W11000025,Hywel Dda University Health Board,week-1,Week 01,all-causes,All causes,hospital,Hospital,registrations,Registrations
1,2020,2020,W11000025,Hywel Dda University Health Board,week-1,Week 01,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-1,Week 01,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-1,Week 01,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-1,Week 01,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-1,Week 01,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-1,Week 01,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-1,Week 01,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
25,2020,2020,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,all-causes,All causes,care-home,Care home,registrations,Registrations
6,2020,2020,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
24,2020,2020,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,all-causes,All causes,home,Home,registrations,Registrations
2,2020,2020,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,all-causes,All causes,hospice,Hospice,registrations,Registrations
70,2020,2020,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
26,2020,2020,W11000029,Cardiff and Vale University Health Board,week-1,Week 01,all-causes,All causes,care-home,Care home,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-1,Week 01,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
12,2020,2020,W11000029,Cardiff and Vale University Health Board,week-1,Week 01,all-causes,All causes,home,Home,registrations,Registrations
9,2020,2020,W11000029,Cardiff and Vale University Health Board,week-1,Week 01,all-causes,All causes,hospice,Hospice,registrations,Registrations
54,2020,2020,W11000029,Cardiff and Vale University Health Board,week-1,Week 01,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-1,Week 01,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-1,Week 01,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-1,Week 01,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-1,Week 01,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-1,Week 01,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-1,Week 01,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-1,Week 01,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
19,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-1,Week 01,all-causes,All causes,care-home,Care home,registrations,Registrations
1,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-1,Week 01,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
22,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-1,Week 01,all-causes,All causes,home,Home,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-1,Week 01,all-causes,All causes,hospice,Hospice,registrations,Registrations
65,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-1,Week 01,all-causes,All causes,hospital,Hospital,registrations,Registrations
1,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-1,Week 01,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-1,Week 01,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-1,Week 01,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-1,Week 01,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-1,Week 01,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-1,Week 01,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-1,Week 01,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
13,2020,2020,W11000031,Swansea Bay University Health Board,week-1,Week 01,all-causes,All causes,care-home,Care home,registrations,Registrations
2,2020,2020,W11000031,Swansea Bay University Health Board,week-1,Week 01,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
20,2020,2020,W11000031,Swansea Bay University Health Board,week-1,Week 01,all-causes,All causes,home,Home,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-1,Week 01,all-causes,All causes,hospice,Hospice,registrations,Registrations
64,2020,2020,W11000031,Swansea Bay University Health Board,week-1,Week 01,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-1,Week 01,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-1,Week 01,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-1,Week 01,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-1,Week 01,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-1,Week 01,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-1,Week 01,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-1,Week 01,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
48,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-2,Week 02,all-causes,All causes,care-home,Care home,registrations,Registrations
3,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-2,Week 02,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
44,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-2,Week 02,all-causes,All causes,home,Home,registrations,Registrations
6,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-2,Week 02,all-causes,All causes,hospice,Hospice,registrations,Registrations
104,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-2,Week 02,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-2,Week 02,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-2,Week 02,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-2,Week 02,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-2,Week 02,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-2,Week 02,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-2,Week 02,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-2,Week 02,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
11,2020,2020,W11000024,Powys Teaching Health Board,week-2,Week 02,all-causes,All causes,care-home,Care home,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-2,Week 02,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
11,2020,2020,W11000024,Powys Teaching Health Board,week-2,Week 02,all-causes,All causes,home,Home,registrations,Registrations
2,2020,2020,W11000024,Powys Teaching Health Board,week-2,Week 02,all-causes,All causes,hospice,Hospice,registrations,Registrations
23,2020,2020,W11000024,Powys Teaching Health Board,week-2,Week 02,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-2,Week 02,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-2,Week 02,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-2,Week 02,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-2,Week 02,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-2,Week 02,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-2,Week 02,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-2,Week 02,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
27,2020,2020,W11000025,Hywel Dda University Health Board,week-2,Week 02,all-causes,All causes,care-home,Care home,registrations,Registrations
4,2020,2020,W11000025,Hywel Dda University Health Board,week-2,Week 02,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
27,2020,2020,W11000025,Hywel Dda University Health Board,week-2,Week 02,all-causes,All causes,home,Home,registrations,Registrations
1,2020,2020,W11000025,Hywel Dda University Health Board,week-2,Week 02,all-causes,All causes,hospice,Hospice,registrations,Registrations
55,2020,2020,W11000025,Hywel Dda University Health Board,week-2,Week 02,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-2,Week 02,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-2,Week 02,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-2,Week 02,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-2,Week 02,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-2,Week 02,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-2,Week 02,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-2,Week 02,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
28,2020,2020,W11000028,Aneurin Bevan University Health Board,week-2,Week 02,all-causes,All causes,care-home,Care home,registrations,Registrations
5,2020,2020,W11000028,Aneurin Bevan University Health Board,week-2,Week 02,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
56,2020,2020,W11000028,Aneurin Bevan University Health Board,week-2,Week 02,all-causes,All causes,home,Home,registrations,Registrations
2,2020,2020,W11000028,Aneurin Bevan University Health Board,week-2,Week 02,all-causes,All causes,hospice,Hospice,registrations,Registrations
95,2020,2020,W11000028,Aneurin Bevan University Health Board,week-2,Week 02,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-2,Week 02,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-2,Week 02,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-2,Week 02,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-2,Week 02,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-2,Week 02,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-2,Week 02,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000028,Aneurin Bevan University Health Board,week-2,Week 02,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
18,2020,2020,W11000029,Cardiff and Vale University Health Board,week-2,Week 02,all-causes,All causes,care-home,Care home,registrations,Registrations
1,2020,2020,W11000029,Cardiff and Vale University Health Board,week-2,Week 02,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
31,2020,2020,W11000029,Cardiff and Vale University Health Board,week-2,Week 02,all-causes,All causes,home,Home,registrations,Registrations
9,2020,2020,W11000029,Cardiff and Vale University Health Board,week-2,Week 02,all-causes,All causes,hospice,Hospice,registrations,Registrations
61,2020,2020,W11000029,Cardiff and Vale University Health Board,week-2,Week 02,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-2,Week 02,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-2,Week 02,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-2,Week 02,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-2,Week 02,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-2,Week 02,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-2,Week 02,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000029,Cardiff and Vale University Health Board,week-2,Week 02,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
18,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-2,Week 02,all-causes,All causes,care-home,Care home,registrations,Registrations
1,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-2,Week 02,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
23,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-2,Week 02,all-causes,All causes,home,Home,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-2,Week 02,all-causes,All causes,hospice,Hospice,registrations,Registrations
89,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-2,Week 02,all-causes,All causes,hospital,Hospital,registrations,Registrations
3,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-2,Week 02,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-2,Week 02,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-2,Week 02,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-2,Week 02,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-2,Week 02,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-2,Week 02,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000030,Cwm Taf Morgannwg University Health Board,week-2,Week 02,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
30,2020,2020,W11000031,Swansea Bay University Health Board,week-2,Week 02,all-causes,All causes,care-home,Care home,registrations,Registrations
3,2020,2020,W11000031,Swansea Bay University Health Board,week-2,Week 02,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
32,2020,2020,W11000031,Swansea Bay University Health Board,week-2,Week 02,all-causes,All causes,home,Home,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-2,Week 02,all-causes,All causes,hospice,Hospice,registrations,Registrations
68,2020,2020,W11000031,Swansea Bay University Health Board,week-2,Week 02,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-2,Week 02,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-2,Week 02,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-2,Week 02,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-2,Week 02,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-2,Week 02,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-2,Week 02,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000031,Swansea Bay University Health Board,week-2,Week 02,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
29,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-3,Week 03,all-causes,All causes,care-home,Care home,registrations,Registrations
6,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-3,Week 03,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
56,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-3,Week 03,all-causes,All causes,home,Home,registrations,Registrations
6,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-3,Week 03,all-causes,All causes,hospice,Hospice,registrations,Registrations
87,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-3,Week 03,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-3,Week 03,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-3,Week 03,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-3,Week 03,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-3,Week 03,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-3,Week 03,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-3,Week 03,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-3,Week 03,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
5,2020,2020,W11000024,Powys Teaching Health Board,week-3,Week 03,all-causes,All causes,care-home,Care home,registrations,Registrations
1,2020,2020,W11000024,Powys Teaching Health Board,week-3,Week 03,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
12,2020,2020,W11000024,Powys Teaching Health Board,week-3,Week 03,all-causes,All causes,home,Home,registrations,Registrations
1,2020,2020,W11000024,Powys Teaching Health Board,week-3,Week 03,all-causes,All causes,hospice,Hospice,registrations,Registrations
27,2020,2020,W11000024,Powys Teaching Health Board,week-3,Week 03,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-3,Week 03,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-3,Week 03,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-3,Week 03,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-3,Week 03,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-3,Week 03,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-3,Week 03,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000024,Powys Teaching Health Board,week-3,Week 03,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
18,2020,2020,W11000025,Hywel Dda University Health Board,week-3,Week 03,all-causes,All causes,care-home,Care home,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-3,Week 03,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
32,2020,2020,W11000025,Hywel Dda University Health Board,week-3,Week 03,all-causes,All causes,home,Home,registrations,Registrations
1,2020,2020,W11000025,Hywel Dda University Health Board,week-3,Week 03,all-causes,All causes,hospice,Hospice,registrations,Registrations
60,2020,2020,W11000025,Hywel Dda University Health Board,week-3,Week 03,all-causes,All causes,hospital,Hospital,registrations,Registrations
1,2020,2020,W11000025,Hywel Dda University Health Board,week-3,Week 03,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-3,Week 03,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-3,Week 03,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-3,Week 03,covid-19,COVID 19,home,Home,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-3,Week 03,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-3,Week 03,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2020,2020,W11000025,Hywel Dda University Health Board,week-3,Week 03,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
27,2020,2020,W11000028,Aneurin Bevan University Health Board,week-3,Week 03,all-causes,All causes,care-home,Care home,registrations,Registrations
2,2020,2020,W11000028,Aneurin Bevan University Health Board,week-3,Week 03,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
29,2020,2020,W11000028,Aneurin Bevan University Health Board,week-3,Week 03,all-causes,All causes,home,Home,registrations,Registrations
4,2020,2020,W11000028,Aneurin Bevan University Health Board,week-3,Week 03,all-causes,All causes,hospice,Hospice,registrations,Registrations
81,2020,2020,W11000028,Aneurin Bevan University Health Board,week-3,Week 03,all-causes,All causes,hospital,Hospital,registrations,Registrations
